Time,time,deltaX,deltaY,range,surfaceQuality
1638389504.6516814,1638389504666121606,14,6,8191,87
1638389504.7537463,1638389504766771724,11,7,8191,79
1638389504.8528416,1638389504867314180,5,-3,8190,78
1638389504.952867,1638389504967353224,14,-2,8191,82
1638389505.0398962,1638389505054017243,0,-2,8190,87
1638389505.153445,1638389505167326667,-5,5,8191,76
1638389505.2398503,1638389505254050531,4,2,8190,73
1638389505.3531682,1638389505367334745,20,-3,8191,71
1638389505.4532166,1638389505467317690,24,-1,8191,69
1638389505.553242,1638389505567320218,16,-6,8191,65
1638389505.6549613,1638389505669381240,16,-7,8191,67
1638389505.7547586,1638389505768930985,16,-7,8191,75
1638389505.841431,1638389505855902050,20,-6,8190,72
1638389505.942099,1638389505955990365,22,-6,8190,78
1638389506.0409276,1638389506055209518,19,-6,8190,75
1638389506.155589,1638389506169650195,13,-3,8191,65
1638389506.240938,1638389506254792672,-38,2,8190,69
1638389506.3391786,1638389506353444554,17,-5,8190,83
1638389506.4401896,1638389506453876217,18,-5,8190,81
1638389506.5517955,1638389506566397888,10,-5,8191,70
1638389506.6566808,1638389506666205924,15,-5,8191,80
1638389506.7548683,1638389506769532009,6,1,8191,87
1638389506.841544,1638389506856136646,20,-16,8190,95
1638389506.937704,1638389506952136879,15,-6,8190,107
1638389507.0385473,1638389507052971947,15,-8,8190,103
1638389507.1389222,1638389507153430379,17,-7,8190,106
1638389507.2527764,1638389507267296492,26,-9,8191,108
1638389507.3511283,1638389507365160674,22,-10,8191,105
1638389507.437464,1638389507452242364,25,-14,8190,113
1638389507.5384154,1638389507552437033,20,-5,8190,130
